dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
Yoga,1dCNN autoencoder,0.9728038108,1.47E-05,0.0001,0.3166394946,0.8778409091,0.06338574,0.2562338,1,
Yoga,1dCNN autoencoder,0.9728038108,1.47E-05,0.0001,0.1431199339,0.4261363636,-0.22055134,0.33910584,0.5,uniform
Yoga,1dCNN autoencoder,0.9728038108,1.47E-05,0.0001,0.2735024047,0.7954545455,0.012953872,0.25594088,0.5,example-specific
Yoga,1dCNN autoencoder,0.9728038108,1.47E-05,0.0001,0.2737846519,0.8380681818,0.03487308,0.25362334,0.5,global
Yoga,LSTM autoencoder,0.9728038108,0.009640679695,0.0001,1.780840743,0.9886363636,0.0005630778,0.00086268486,1,
Yoga,LSTM autoencoder,0.9728038108,0.01020892337,0.0001,1.647833838,0.7443181818,-0.08750928,0.24901295,0.5,uniform
Yoga,LSTM autoencoder,0.9728038108,0.009640679695,0.0001,1.631560344,0.8693181818,-0.053345993,0.16429359,0.5,example-specific
Yoga,LSTM autoencoder,0.9728038108,0.01053653006,0.0001,1.759123079,0.875,-0.011808694,0.2239185,0.5,global
Yoga,No autoencoder,0.9728038108,0,0.0001,0.119467465,0.9034090909,-0.016267113,0.09235362,1,
Yoga,No autoencoder,0.9728038108,0,0.0001,0.02074828107,0.3323863636,-0.32787016,0.23781829,0.5,uniform
Yoga,No autoencoder,0.9728038108,0,0.0001,0.1236111065,0.7698863636,-0.045271292,0.14838758,0.5,example-specific
Yoga,No autoencoder,0.9728038108,0,0.0001,0.1211435165,0.7670454545,-0.042921837,0.14025798,0.5,global
WormsTwoClass,1dCNN autoencoder,0.7075757576,0.0001575719361,0.0001,0.5638009167,1,0.00047069995,0.0002992945,1,
WormsTwoClass,1dCNN autoencoder,0.7075757576,0.0001575719361,0.0001,0.3834378762,0.7586206897,-0.0007516567,0.002231956,0.5,uniform
WormsTwoClass,1dCNN autoencoder,0.7075757576,0.0001575719361,0.0001,0.4439912603,0.9655172414,0.00047488048,0.00061156123,0.5,example-specific
WormsTwoClass,1dCNN autoencoder,0.7075757576,0.0001575719361,0.0001,0.449732869,1,0.00046478058,0.00024599113,0.5,global
WormsTwoClass,LSTM autoencoder,0.7075757576,0.01051637623,0.0001,3.117587401,1,0.19212854,0.013678897,1,
WormsTwoClass,LSTM autoencoder,0.7075757576,0.01051637623,0.0001,3.116464643,1,0.19293652,0.013360119,0.5,uniform
WormsTwoClass,LSTM autoencoder,0.7075757576,0.01051637623,0.0001,3.117217871,1,0.19238587,0.013483757,0.5,example-specific
WormsTwoClass,LSTM autoencoder,0.7075757576,0.01051637623,0.0001,3.116538362,1,0.19287123,0.013431594,0.5,global
WormsTwoClass,No autoencoder,0.7075757576,0,0.0001,0.1418879923,1,0.00043784955,0.0002661869,1,
WormsTwoClass,No autoencoder,0.7075757576,0,0.0001,0.1171819321,0.8620689655,-3.46E-05,0.0015040096,0.5,uniform
WormsTwoClass,No autoencoder,0.7075757576,0,0.0001,0.1235647888,0.8275862069,-1.07E-06,0.0010913545,0.5,example-specific
WormsTwoClass,No autoencoder,0.7075757576,0,0.0001,0.1240340651,0.8965517241,0.00022124525,0.0008368251,0.5,global
Wine,1dCNN autoencoder,0.5,0.0003524351341,0.0001,0.5457301158,1,0.00012591352,7.80E-05,1,
