dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
TwoLeadECG,1,1dCNN autoencoder,0.9914529915,0.0001944732649,0.0001,0.1896751555,1,0.28,0.9004127718,0.4551219512,1,unconstrained,0.5
TwoLeadECG,1,LSTM autoencoder,0.9914529915,0.00437753927,0.0001,0.6076246381,1,1,2.884473631,0.1963414634,1,unconstrained,0.5
TwoLeadECG,1,No autoencoder,0.9914529915,0,0.0001,0.07058416541,0.98,0.2,0.3350722653,0.7748780488,1,unconstrained,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9829059829,0.0001186204463,0.0001,0.1742060584,1,0.32,0.6947599426,0.4243902439,1,unconstrained,0.5
TwoLeadECG,2,LSTM autoencoder,0.9829059829,0.005427480675,0.0001,0.8595767565,0.98,1,3.428121293,0.1643902439,1,unconstrained,0.5
TwoLeadECG,2,No autoencoder,0.9829059829,0,0.0001,0.07851236931,0.9,0.3,0.3131191286,0.7129268293,1,unconstrained,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896552,0.0001453538571,0.0001,0.1707220743,0.94,0.48,0.7254848344,0.4629268293,1,unconstrained,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896552,0.004375793971,0.0001,0.5890658926,1,1,2.503240271,0.1819512195,1,unconstrained,0.5
TwoLeadECG,3,No autoencoder,0.9956896552,0,0.0001,0.0651580219,0.94,0.36,0.2768895407,0.8653658537,1,unconstrained,0.5
TwoLeadECG,4,1dCNN autoencoder,1,0.0001806361688,0.0001,0.1891556724,0.98,0.42,0.7716183275,0.4446341463,1,unconstrained,0.5
TwoLeadECG,4,LSTM autoencoder,1,0.004404156934,0.0001,0.6973441131,0.94,1,2.844659595,0.1870731707,1,unconstrained,0.5
TwoLeadECG,4,No autoencoder,1,0,0.0001,0.07345599137,0.9,0.36,0.2996473143,0.7697560976,1,unconstrained,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896552,8.88E-05,0.0001,0.1819644085,1,0.4,0.7301403331,0.4107317073,1,unconstrained,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896552,0.005789712537,0.0001,0.6576555597,1,1,2.638872368,0.1763414634,1,unconstrained,0.5
TwoLeadECG,5,No autoencoder,0.9956896552,0,0.0001,0.07801562588,0.96,0.24,0.3130411905,0.6453658537,1,unconstrained,0.5
TwoLeadECG,1,1dCNN autoencoder,0.9914529915,0.0001944732649,0.0001,0.1635515022,1,0.2,0.7764003729,0.6092682927,0.5,local,0.5
TwoLeadECG,1,LSTM autoencoder,0.9914529915,0.00437753927,0.0001,0.5148714275,0.84,1,2.444162009,0.2163414634,0.5,local,0.5
TwoLeadECG,1,No autoencoder,0.9914529915,0,0.0001,0.0637785446,0.78,0.18,0.3027650932,0.8248780488,0.5,local,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9829059829,0.0001186204463,0.0001,0.1537334026,0.96,0.26,0.6131119143,0.582195122,0.5,local,0.5
TwoLeadECG,2,LSTM autoencoder,0.9829059829,0.005427480675,0.0001,0.8131968126,0.84,1,3.243151106,0.176097561,0.5,local,0.5
TwoLeadECG,2,No autoencoder,0.9829059829,0,0.0001,0.07882967849,0.88,0.34,0.3143846053,0.8463414634,0.5,local,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896552,0.0001453538571,0.0001,0.1459624245,0.86,0.38,0.6202685026,0.6268292683,0.5,local,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896552,0.004375793971,0.0001,0.557433797,0.96,1,2.368819426,0.1943902439,0.5,local,0.5
TwoLeadECG,3,No autoencoder,0.9956896552,0,0.0001,0.06725848045,0.86,0.34,0.2858154563,0.832195122,0.5,local,0.5
TwoLeadECG,4,1dCNN autoencoder,1,0.0001806361688,0.0001,0.1616614631,0.72,0.44,0.6594618403,0.6480487805,0.5,local,0.5
TwoLeadECG,4,LSTM autoencoder,1,0.004404156934,0.0001,0.571513299,0.82,1,2.331360886,0.2209756098,0.5,local,0.5
TwoLeadECG,4,No autoencoder,1,0,0.0001,0.08147407133,0.8,0.36,0.3323552811,0.8102439024,0.5,local,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896552,8.88E-05,0.0001,0.1374089976,0.98,0.22,0.551359753,0.6131707317,0.5,local,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896552,0.005789712537,0.0001,0.5581512602,0.9,1,2.239606913,0.2102439024,0.5,local,0.5
TwoLeadECG,5,No autoencoder,0.9956896552,0,0.0001,0.07070326083,0.88,0.24,0.2836999985,0.7070731707,0.5,local,0.5
TwoLeadECG,1,1dCNN autoencoder,0.9914529915,0.0001944732649,0.0001,0.1655761925,1,0.1,0.7860118426,0.6282926829,0.5,global,0.5
TwoLeadECG,1,LSTM autoencoder,0.9914529915,0.00437753927,0.0001,0.5357172171,0.9,1,2.543119699,0.2143902439,0.5,global,0.5
TwoLeadECG,1,No autoencoder,0.9914529915,0,0.0001,0.0639854875,0.82,0.18,0.3037474782,0.8280487805,0.5,global,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9829059829,0.0001186204463,0.0001,0.1478786808,0.94,0.2,0.5897624042,0.5897560976,0.5,global,0.5
TwoLeadECG,2,LSTM autoencoder,0.9829059829,0.005427480675,0.0001,0.8124124867,0.9,1,3.240023096,0.1643902439,0.5,global,0.5
TwoLeadECG,2,No autoencoder,0.9829059829,0,0.0001,0.07615233262,0.88,0.3,0.3037069476,0.8385365854,0.5,global,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896552,0.0001453538571,0.0001,0.1443584325,1,0.32,0.6134523258,0.617804878,0.5,global,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896552,0.004375793971,0.0001,0.5619130444,0.96,1,2.387854024,0.1929268293,0.5,global,0.5
TwoLeadECG,3,No autoencoder,0.9956896552,0,0.0001,0.06150707433,0.78,0.32,0.2613748095,0.8382926829,0.5,global,0.5
TwoLeadECG,4,1dCNN autoencoder,1,0.0001806361688,0.0001,0.1724797761,0.92,0.38,0.7035927323,0.5987804878,0.5,global,0.5
TwoLeadECG,4,LSTM autoencoder,1,0.004404156934,0.0001,0.5575724807,0.84,1,2.274492431,0.2131707317,0.5,global,0.5
TwoLeadECG,4,No autoencoder,1,0,0.0001,0.07130089884,0.9,0.34,0.2908560955,0.81,0.5,global,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896552,8.88E-05,0.0001,0.1345788622,1,0.18,0.540003708,0.6331707317,0.5,global,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896552,0.005789712537,0.0001,0.5728481159,0.82,1,2.298578704,0.2036585366,0.5,global,0.5
TwoLeadECG,5,No autoencoder,0.9956896552,0,0.0001,0.07076319168,0.86,0.24,0.2839404738,0.7036585366,0.5,global,0.5
TwoLeadECG,1,1dCNN autoencoder,0.9914529915,0.0001944732649,0.0001,0.15534391,0.92,0.16,0.7374378591,0.6636585366,0.5,uniform,0.5
TwoLeadECG,1,LSTM autoencoder,0.9914529915,0.00437753927,0.0001,0.4981900353,0.9,1,2.364973259,0.2265853659,0.5,uniform,0.5
TwoLeadECG,1,No autoencoder,0.9914529915,0,0.0001,0.06192731808,0.78,0.16,0.2939770787,0.8443902439,0.5,uniform,0.5
TwoLeadECG,2,1dCNN autoencoder,0.9829059829,0.0001186204463,0.0001,0.1265886205,0.86,0.26,0.5048544436,0.6443902439,0.5,uniform,0.5
TwoLeadECG,2,LSTM autoencoder,0.9829059829,0.005427480675,0.0001,0.7888691958,0.86,1,3.146128913,0.1946341463,0.5,uniform,0.5
TwoLeadECG,2,No autoencoder,0.9829059829,0,0.0001,0.02883251984,0.56,0.34,0.1149884224,0.973902439,0.5,uniform,0.5
TwoLeadECG,3,1dCNN autoencoder,0.9956896552,0.0001453538571,0.0001,0.1112463732,0.6,0.36,0.4727423621,0.7324390244,0.5,uniform,0.5
TwoLeadECG,3,LSTM autoencoder,0.9956896552,0.004375793971,0.0001,0.5535516698,1,1,2.352322295,0.1970731707,0.5,uniform,0.5
TwoLeadECG,3,No autoencoder,0.9956896552,0,0.0001,0.00593678762,0.16,0.42,0.02522842698,0.9992682927,0.5,uniform,0.5
TwoLeadECG,4,1dCNN autoencoder,1,0.0001806361688,0.0001,0.1284459489,0.6,0.4,0.5239665671,0.7402439024,0.5,uniform,0.5
TwoLeadECG,4,LSTM autoencoder,1,0.004404156934,0.0001,0.5438042944,0.86,1,2.218328189,0.2265853659,0.5,uniform,0.5
TwoLeadECG,4,No autoencoder,1,0,0.0001,0.009221924732,0.2,0.36,0.03761878271,0.9980487805,0.5,uniform,0.5
TwoLeadECG,5,1dCNN autoencoder,0.9956896552,8.88E-05,0.0001,0.124826144,0.98,0.22,0.5008704896,0.647804878,0.5,uniform,0.5
TwoLeadECG,5,LSTM autoencoder,0.9956896552,0.005789708346,0.0001,0.5605535029,0.94,1,2.249246019,0.2102439024,0.5,uniform,0.5
TwoLeadECG,5,No autoencoder,0.9956896552,0,0.0001,0.06842224578,0.84,0.24,0.2745473236,0.7287804878,0.5,uniform,0.5
Yoga,1,1dCNN autoencoder,0.9441398028,1.54E-05,0.0001,0.3124882884,0.96,0.32,0.3113746889,0.4789201878,1,unconstrained,0.5
Yoga,1,LSTM autoencoder,0.9441398028,0.03218592331,0.0001,3.655128741,0.64,1,3.642103135,0.04093896714,1,unconstrained,0.5
Yoga,1,No autoencoder,0.9441398028,0,0.0001,0.1375168625,0.88,0.28,0.1370268002,0.8350234742,1,unconstrained,0.5
Yoga,2,1dCNN autoencoder,0.9360252576,1.85E-05,0.0001,0.3253169519,0.92,0.42,0.3614060116,0.4810798122,1,unconstrained,0.5
